legacy id,legacy url,new generated url,url for counting,number of new elements since migration,used in
1757,http://infoscience.epfl.ch/curator/export/1757/,https://infoscience.epfl.ch/search?p=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ,0,PEOPLE
4635,http://infoscience.epfl.ch/curator/export/4635/,https://infoscience.epfl.ch/search?p=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ,0,PEOPLE
4635,http://infoscience.epfl.ch/curator/export/4635/,https://infoscience.epfl.ch/search?p=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=UNIT%3ALMBM+AND+AUTHOR%3ASWARTZ,0,PEOPLE
12216,https://infoscience.epfl.ch/curator/export/12216/?ln=en,https://infoscience.epfl.ch/search?p=Inamasu+hiroyuki&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Inamasu+hiroyuki,1,PEOPLE
9506,http://infoscience.epfl.ch/curator/export/9506/?ln=en,https://infoscience.epfl.ch/search?bskid=4216&of=xm,,n/a,PEOPLE
9507,http://infoscience.epfl.ch/curator/export/9507/?ln=en,https://infoscience.epfl.ch/search?bskid=4215&of=xm,,n/a,PEOPLE
12387,https://infoscience.epfl.ch/curator/export/12387/?ln=en,https://infoscience.epfl.ch/search?bskid=4544&of=xm,,n/a,PEOPLE
12790,https://infoscience.epfl.ch/curator/export/12790/?ln=fr,https://infoscience.epfl.ch/search?p=Caroline+Iorio&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Caroline+Iorio,0,PEOPLE
12790,https://infoscience.epfl.ch/curator/export/12790/?ln=fr,https://infoscience.epfl.ch/search?p=Caroline+Iorio&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Caroline+Iorio,0,PEOPLE
8978,http://infoscience.epfl.ch/curator/export/8978/?ln=en,https://infoscience.epfl.ch/search?p=author%3A%27I.+F.+C.+Smith%27+OR+author%3A%27Smith%2C+Ian+F.+C.%27+unit%3Aimac&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A%27I.+F.+C.+Smith%27+OR+author%3A%27Smith%2C+Ian+F.+C.%27+unit%3Aimac,0,PEOPLE
