legacy id,legacy url,legacy raw search values,new generated url,url for counting,number of new elements since migration,used in
1765,http://infoscience.epfl.ch/curator/export/1765/,"{'search_pattern': ""author:'Nazeeruddin, M*'"", 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3A%27Nazeeruddin%2C+M%2A%27&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A%27Nazeeruddin%2C+M%2A%27,0,PEOPLE
12778,https://infoscience.epfl.ch/curator/export/12778/?ln=en,{'search_pattern': 'Matteo Romanello'},https://infoscience.epfl.ch/search?p=Matteo+Romanello&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Matteo+Romanello,0,PEOPLE
10814,http://infoscience.epfl.ch/curator/export/10814/?ln=fr,"{'search_pattern': 'Maillard, Nadja'}",https://infoscience.epfl.ch/search?p=Maillard%2C+Nadja&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Maillard%2C+Nadja,0,PEOPLE
11835,https://infoscience.epfl.ch/curator/export/11835/?ln=en,"{'search_pattern': 'Upenik, Evgeniy', 'search_field_restriction': 'author'}",https://infoscience.epfl.ch/search?p=Upenik%2C+Evgeniy&f1=author&so=d&rg=100,https://infoscience.epfl.ch/search?f1=author&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=Upenik%2C+Evgeniy,0,PEOPLE
9363,http://infoscience.epfl.ch/curator/export/9363/?ln=en,"{'search_pattern': ""'123870'""}",https://infoscience.epfl.ch/search?p=%27123870%27&so=d&rg=500,https://infoscience.epfl.ch/search?so=d&rg=500&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=%27123870%27,0,PEOPLE
12768,https://infoscience.epfl.ch/curator/export/12768/?ln=fr,"{'search_pattern': 'bayer', 'search_collection': 'Infoscience/Research/SB/MATH/CSAG', 'search_field_restriction': 'author'}",https://infoscience.epfl.ch/search?p=bayer&f1=author&c=Infoscience%2FResearch%2FSB%2FMATH%2FCSAG&so=d,https://infoscience.epfl.ch/search?f1=author&c=Infoscience%2FResearch%2FSB%2FMATH%2FCSAG&so=d&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=bayer,0,PEOPLE
13015,https://infoscience.epfl.ch/curator/export/13015/?ln=en,"{'search_pattern': 'jelescu', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=jelescu&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=jelescu,0,PEOPLE
6478,http://infoscience.epfl.ch/curator/export/6478/?ln=en,{'search_pattern': '154265'},https://infoscience.epfl.ch/search?p=154265&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=154265,0,PEOPLE
12825,https://infoscience.epfl.ch/curator/export/12825/?ln=en,{'search_pattern': 'author: samuel zimmermann unit:lmis1'},https://infoscience.epfl.ch/search?p=author%3A+samuel+zimmermann+unit%3Almis1&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3A+samuel+zimmermann+unit%3Almis1,0,PEOPLE
10209,http://infoscience.epfl.ch/curator/export/10209/?ln=fr,{'search_pattern': 'catarina wall gago'},https://infoscience.epfl.ch/search?p=catarina+wall+gago&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=catarina+wall+gago,0,PEOPLE
10206,http://infoscience.epfl.ch/curator/export/10206/?ln=en,{'search_pattern': 'catarina wall gago'},https://infoscience.epfl.ch/search?p=catarina+wall+gago&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=catarina+wall+gago,0,PEOPLE
11699,https://infoscience.epfl.ch/curator/export/11699/?ln=en,{'search_pattern': 'nongravitational interactions of dark matter'},https://infoscience.epfl.ch/search?p=nongravitational+interactions+of+dark+matter&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=nongravitational+interactions+of+dark+matter,0,PEOPLE
11860,https://infoscience.epfl.ch/curator/export/11860/?ln=en,"{'search_pattern': 'cheraghi', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=cheraghi&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=cheraghi,0,PEOPLE
4729,http://infoscience.epfl.ch/curator/export/4729/,{'search_basket_id': '1588'},https://infoscience.epfl.ch/search?bskid=1588&of=xm,,n/a,PEOPLE
4729,http://infoscience.epfl.ch/curator/export/4729/,{'search_basket_id': '1588'},https://infoscience.epfl.ch/search?bskid=1588&of=xm,,n/a,PEOPLE
8865,http://infoscience.epfl.ch/curator/export/8865/?ln=fr,{'search_pattern': 'ravalet'},https://infoscience.epfl.ch/search?p=ravalet&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=ravalet,3,PEOPLE
8865,http://infoscience.epfl.ch/curator/export/8865/?ln=fr,{'search_pattern': 'ravalet'},https://infoscience.epfl.ch/search?p=ravalet&so=d&rg=100,https://infoscience.epfl.ch/search?so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=ravalet,3,PEOPLE
2774,http://infoscience.epfl.ch/curator/export/2774/,"{'search_pattern': 'author:ramdya', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3Aramdya&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aramdya,0,PEOPLE
2774,http://infoscience.epfl.ch/curator/export/2774/,"{'search_pattern': 'author:ramdya', 'search_collection': 'Infoscience/Research'}",https://infoscience.epfl.ch/search?p=author%3Aramdya&c=Infoscience%2FResearch&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aramdya,0,PEOPLE
5776,http://infoscience.epfl.ch/curator/export/5776/,"{'search_pattern': 'author:ramdya', 'search_collection': 'Infoscience/Research,Infoscience/Resource'}",https://infoscience.epfl.ch/search?p=author%3Aramdya&c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aramdya,0,PEOPLE
5776,http://infoscience.epfl.ch/curator/export/5776/,"{'search_pattern': 'author:ramdya', 'search_collection': 'Infoscience/Research,Infoscience/Resource'}",https://infoscience.epfl.ch/search?p=author%3Aramdya&c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100,https://infoscience.epfl.ch/search?c=Infoscience%2FResearch%2CInfoscience%2FResource&so=d&rg=100&d1d=29&d1m=01&d1y=2018&of=xm&as=1&m1=a&action_search=Search&p1=author%3Aramdya,0,PEOPLE
